2017-07-20 01:39:48,187 [AWT-EventQueue-0] INFO  marytts.PStream Gradient GV optimization for feature: (4)  number of iterations=66
2017-07-20 01:39:48,187 [AWT-EventQueue-0] INFO  marytts.R 1 Request processed in 312 ms.
2017-07-20 01:39:48,187 [AWT-EventQueue-0] INFO  marytts.R 1    TextToMaryXML took 0 ms
2017-07-20 01:39:48,187 [AWT-EventQueue-0] INFO  marytts.R 1    JTokeniser took 15 ms
2017-07-20 01:39:48,187 [AWT-EventQueue-0] INFO  marytts.R 1    Preprocess took 0 ms
2017-07-20 01:39:48,187 [AWT-EventQueue-0] INFO  marytts.R 1    OpenNLPPosTagger took 16 ms
2017-07-20 01:39:48,187 [AWT-EventQueue-0] INFO  marytts.R 1    JPhonemiser took 0 ms
2017-07-20 01:39:48,187 [AWT-EventQueue-0] INFO  marytts.R 1    Prosody took 0 ms
2017-07-20 01:39:48,187 [AWT-EventQueue-0] INFO  marytts.R 1    PronunciationModel took 0 ms
2017-07-20 01:39:48,187 [AWT-EventQueue-0] INFO  marytts.R 1    AcousticModeller took 47 ms
2017-07-20 01:39:48,187 [AWT-EventQueue-0] INFO  marytts.R 1    Synthesis took 234 ms
2017-07-20 01:40:14,789 [AWT-EventQueue-0] INFO  marytts.R 1 New request (input type "TEXT", output type "AUDIO", voice "dfki-poppy-hsmm", audio "WAVE")
2017-07-20 01:40:14,789 [AWT-EventQueue-0] INFO  marytts.R 1 Handling request using the following modules:
2017-07-20 01:40:14,789 [AWT-EventQueue-0] INFO  marytts.R 1 - TextToMaryXML (marytts.modules.TextToMaryXML)
2017-07-20 01:40:14,789 [AWT-EventQueue-0] INFO  marytts.R 1 Next module: TextToMaryXML
2017-07-20 01:40:14,789 [AWT-EventQueue-0] INFO  marytts.R 1 Handling request using the following modules:
2017-07-20 01:40:14,789 [AWT-EventQueue-0] INFO  marytts.R 1 - JTokeniser (marytts.language.en.JTokeniser)
2017-07-20 01:40:14,789 [AWT-EventQueue-0] INFO  marytts.R 1 - Preprocess (marytts.language.en.Preprocess)
2017-07-20 01:40:14,789 [AWT-EventQueue-0] INFO  marytts.R 1 - OpenNLPPosTagger (marytts.modules.OpenNLPPosTagger)
2017-07-20 01:40:14,789 [AWT-EventQueue-0] INFO  marytts.R 1 - JPhonemiser (marytts.modules.JPhonemiser)
2017-07-20 01:40:14,789 [AWT-EventQueue-0] INFO  marytts.R 1 - Prosody (marytts.language.en.Prosody)
2017-07-20 01:40:14,789 [AWT-EventQueue-0] INFO  marytts.R 1 - PronunciationModel (marytts.language.en.PronunciationModel)
2017-07-20 01:40:14,789 [AWT-EventQueue-0] INFO  marytts.R 1 - AcousticModeller (marytts.modules.AcousticModeller)
2017-07-20 01:40:14,789 [AWT-EventQueue-0] INFO  marytts.R 1 - Synthesis (marytts.modules.Synthesis)
2017-07-20 01:40:14,789 [AWT-EventQueue-0] INFO  marytts.R 1 Next module: JTokeniser
2017-07-20 01:40:14,789 [AWT-EventQueue-0] INFO  marytts.R 1 Next module: Preprocess
2017-07-20 01:40:14,820 [AWT-EventQueue-0] INFO  marytts.R 1 Next module: OpenNLPPosTagger
